,antecedents,consequents
24073,"['Sparkling Lemon Water', 'Peach Pear Flavored Sparkling Water', 'Lime Sparkling Water']",Sparkling Water Grapefruit
14269,"['Sparkling Lemon Water', 'Lime Sparkling Water', 'Sparkling Water Berry']",Sparkling Water Grapefruit
23112,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% Lowfat Greek Strained Yogurt with Peach', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
24072,"['Sparkling Lemon Water', 'Peach Pear Flavored Sparkling Water', 'Sparkling Water Grapefruit']",Lime Sparkling Water
24060,"['Sparkling Lemon Water', 'Peach Pear Flavored Sparkling Water']",Sparkling Water Grapefruit
24086,"['Lime Sparkling Water', 'Peach Pear Flavored Sparkling Water']",Sparkling Water Grapefruit
14295,"['Lime Sparkling Water', 'Sparkling Water Berry']",Sparkling Water Grapefruit
14270,"['Sparkling Lemon Water', 'Sparkling Water Grapefruit', 'Sparkling Water Berry']",Lime Sparkling Water
14257,"['Sparkling Lemon Water', 'Sparkling Water Berry']",Sparkling Water Grapefruit
25889,"['Non Fat Acai & Mixed Berries Yogurt', 'Nonfat Icelandic Style Strawberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
21297,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
25133,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% Greek Strained Yogurt with Cherry 5.3 oz', 'Total 2% Lowfat Greek Strained Yogurt with Peach']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
25895,"['Non Fat Acai & Mixed Berries Yogurt', 'Vanilla Skyr Nonfat Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
23100,"['Total 2% Lowfat Greek Strained Yogurt with Peach', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
14196,"['Sparkling Lemon Water', 'Pure Sparkling Water']",Sparkling Water Grapefruit
23113,"['Total 2% with Strawberry Lowfat Greek Strained Yogurt', 'Total 2% Lowfat Greek Strained Yogurt with Peach', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% Lowfat Greek Strained Yogurt With Blueberry
25882,"['Non Fat Acai & Mixed Berries Yogurt', 'Non Fat Raspberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
24066,"['Sparkling Lemon Water', 'Peach Pear Flavored Sparkling Water']",Lime Sparkling Water
14208,"['Lime Sparkling Water', 'Pure Sparkling Water']",Sparkling Water Grapefruit
14283,"['Peach Pear Flavored Sparkling Water', 'Sparkling Water Berry']",Sparkling Water Grapefruit
23125,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% Lowfat Greek Strained Yogurt with Peach']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
25135,"['Total 2% Greek Strained Yogurt with Cherry 5.3 oz', 'Total 2% with Strawberry Lowfat Greek Strained Yogurt', 'Total 2% Lowfat Greek Strained Yogurt with Peach']",Total 2% Lowfat Greek Strained Yogurt With Blueberry
8999,"['Organic Raspberries', 'Organic Hass Avocado', 'Organic Large Extra Fancy Fuji Apple']",Bag of Organic Bananas
25858,"['Vanilla Skyr Nonfat Yogurt', 'Non Fat Raspberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
23111,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% with Strawberry Lowfat Greek Strained Yogurt', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% Lowfat Greek Strained Yogurt with Peach
14271,"['Lime Sparkling Water', 'Sparkling Water Grapefruit', 'Sparkling Water Berry']",Sparkling Lemon Water
15850,"['Non Fat Raspberry Yogurt', 'Nonfat Icelandic Style Strawberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
15837,"['Vanilla Skyr Nonfat Yogurt', 'Nonfat Icelandic Style Strawberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
24075,"['Lime Sparkling Water', 'Peach Pear Flavored Sparkling Water', 'Sparkling Water Grapefruit']",Sparkling Lemon Water
21418,"['Organic Fuji Apple', 'Granny Smith Apples']",Banana
25147,"['Total 2% Greek Strained Yogurt with Cherry 5.3 oz', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
22728,"['Organic Fuji Apple', 'Bartlett Pears']",Banana
25132,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% Greek Strained Yogurt with Cherry 5.3 oz', 'Total 2% with Strawberry Lowfat Greek Strained Yogurt']",Total 2% Lowfat Greek Strained Yogurt with Peach
14263,"['Sparkling Lemon Water', 'Sparkling Water Berry']",Lime Sparkling Water
21388,"['Organic Fuji Apple', 'Total 2% with Strawberry Lowfat Greek Strained Yogurt']",Banana
20114,"['Sparkling Lemon Water', 'Lime Sparkling Water']",Sparkling Water Grapefruit
11829,"['Organic Raspberries', 'Organic Hass Avocado', 'Apple Honeycrisp Organic']",Bag of Organic Bananas
16007,"['Organic Raspberries', 'Organic Hass Avocado', 'Organic Zucchini']",Bag of Organic Bananas
7516,"['Organic Cucumber', 'Organic Raspberries', 'Organic Hass Avocado']",Bag of Organic Bananas
24860,"['Vanilla Skyr Nonfat Yogurt', 'Yogurt, Strained Low-Fat, Coconut']",Icelandic Style Skyr Blueberry Non-fat Yogurt
22694,"['Bartlett Pears', 'Organic Avocado']",Banana
23733,"['Bag of Organic Bananas', 'Organic Yellow Squash']",Organic Zucchini
24868,"['Yogurt, Strained Low-Fat, Coconut', 'Non Fat Raspberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
17128,"['Organic Fuji Apple', 'Broccoli Crown']",Banana
6890,"['Organic Blueberries', 'Organic Raspberries', 'Organic Hass Avocado']",Bag of Organic Bananas
23106,"['Total 2% Lowfat Greek Strained Yogurt with Peach', 'Total 2% All Natural Greek Strained Yogurt with Honey']",Total 2% Lowfat Greek Strained Yogurt With Blueberry
22722,"['Bartlett Pears', 'Honeycrisp Apple']",Banana
25102,"['Total 2% Lowfat Greek Strained Yogurt With Blueberry', 'Total 2% Greek Strained Yogurt with Cherry 5.3 oz']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
14098,"['Organic Fuji Apple', 'Strawberries']",Banana
6545,"['Organic Raspberries', 'Organic Hass Avocado', 'Organic Lemon']",Bag of Organic Bananas
24862,"['Yogurt, Strained Low-Fat, Coconut', 'Icelandic Style Skyr Blueberry Non-fat Yogurt']",Vanilla Skyr Nonfat Yogurt
20115,"['Sparkling Lemon Water', 'Sparkling Water Grapefruit']",Lime Sparkling Water
8656,"['Organic Fuji Apple', 'Blueberries']",Banana
14203,"['Sparkling Lemon Water', 'Pure Sparkling Water']",Lime Sparkling Water
25115,"['Total 2% Greek Strained Yogurt with Cherry 5.3 oz', 'Total 2% Lowfat Greek Strained Yogurt with Peach']",Total 2% with Strawberry Lowfat Greek Strained Yogurt
5119,"['Organic Strawberries', 'Organic Hass Avocado', ""Organic D'Anjou Pears""]",Bag of Organic Bananas
16860,"['Honeycrisp Apple', 'Strawberries']",Banana
19145,"['Organic Raspberries', 'Organic Navel Orange']",Bag of Organic Bananas
22706,"['Bartlett Pears', 'Cucumber Kirby']",Banana
9911,"['Organic Raspberries', 'Organic Hass Avocado', 'Organic Yellow Onion']",Bag of Organic Bananas
25883,"['Non Fat Acai & Mixed Berries Yogurt', 'Icelandic Style Skyr Blueberry Non-fat Yogurt']",Non Fat Raspberry Yogurt
22716,"['Bartlett Pears', 'Strawberries']",Banana
24076,"['Sparkling Lemon Water', 'Peach Pear Flavored Sparkling Water']",Lime Sparkling Water
25864,"['Banana', 'Non Fat Raspberry Yogurt']",Icelandic Style Skyr Blueberry Non-fat Yogurt
22700,"['Large Lemon', 'Bartlett Pears']",Banana
